"region_name","densite_pop_2022","niveau_vie_median_annuel","intensite_pauvrete_pct","pct_non_scol15","total_population","nb_sejours","age_moyen","dms_nuitees","pct_deces","tx_sejours_sepsis_100k","cluster"
"GUADELOUPE",235.5,15720,24.8,89.5876566967638,383569,1585,63.0687066246057,16.8072555205047,0.191875078864353,413.224217806966,"1"
"MARTINIQUE",320.1,19770,24.1,90.7851540999078,361019,890,61.7804494382023,19.4058426966292,0.265961797752809,246.524421152349,"2"
"GUYANE",3.5,11040,40.4,84.1343863633509,288382,506,46.7754940711462,21.001976284585,0.170177865612648,175.4617139766,"3"
"LA REUNION",352,17070,24,87.1844092896805,881348,2417,57.5199834505585,17.0779064956558,0.184521721141911,274.239006612598,"1"
"MAYOTTE",NA,3120,87.3,NA,299634,187,52.5823529411765,16.1048128342246,0.208919786096257,62.4094728902595,"4"
"ILE-DE-FRANCE",1030.7,25210,23.7,85.2249639531145,12380964,27726,63.4620248142538,20.8325687080718,0.236481317175215,223.940559071168,"5"
"CENTRE-VAL DE LOIRE",65.9,22780,19.7,90.1616934031983,2581597,5132,69.3422447388932,18.3730319563523,0.267976617303196,198.791678174401,"2"
"BOURGOGNE-FRANCHE-COMTE",58.7,22750,19.1,90.3092421930622,2803977,8298,70.6997107736804,17,0.270413111593155,295.936806899629,"2"
"NORMANDIE",111.8,22480,19.3,89.3945326093801,3339074,8460,68.7191489361702,17.7014184397163,0.268765957446809,253.363657109726,"2"
"HAUTS-DE-FRANCE",188.6,21420,19.5,88.5704784602437,5998916,18505,67.4,16.8611510402594,0.23735730883545,308.472397346454,"2"
"GRAND EST",96.8,22960,20.8,89.5414016266861,5560079,16437,69.7744600596216,17.9155198637221,0.255805378110361,295.625295971514,"2"
"PAYS DE LA LOIRE",120.9,23050,18.5,88.0130850488088,3879216,8528,68.4545966228893,17.703564727955,0.220268292682927,219.838235354773,"2"
"BRETAGNE",125.8,23240,18.8,88.5545638363061,3422845,6891,68.4,18.4298940647221,0.238034102452474,201.323752609306,"2"
"NOUVELLE-AQUITAINE",72.7,22710,19.9,89.6667490032578,6113384,17184,70.304748603352,17.121438547486,0.247525139664804,281.088182911461,"2"
"OCCITANIE",83.6,22010,21,88.4290024725232,6080731,15348,69.6333593953609,16.833984884024,0.227062548866302,252.403863943332,"2"
"AUVERGNE-RHONE-ALPES",117.1,23800,20.2,88.3105833245513,8163884,18936,68.4485160540769,19.4874102239121,0.238726658217153,231.948420629201,"2"
"PROVENCE-ALPES-COTE D'AZUR",164.7,22820,22,89.329700053374,5170312,13782,68.4744013931215,18.5364823683065,0.25972355245973,266.56031589583,"2"
"CORSE",40.5,22390,21.2,91.3976778766632,351276,947,72.2738120380148,16.8404435058078,0.259327349524815,269.588585613592,"2"
