"cluster","n_regions","nb_sejours","age_moyen","dms_nuitees","pct_deces","tx_sejours_sepsis_100k","densite_pop_2022","niveau_vie_median_annuel","intensite_pauvrete_pct","pct_non_scol15"
"1",2,2001,60.2943450375821,16.9425810080803,0.188198400003132,343.731612209782,293.75,16395,24.4,88.3860329932222
"2",13,10718.3076923077,68.7465729271833,17.8623217168379,0.250534447300768,255.497354893197,120.553846153846,22475.3846153846,20.3153846153846,89.4202972313817
"3",1,506,46.7754940711462,21.001976284585,0.170177865612648,175.4617139766,3.5,11040,40.4,84.1343863633509
"4",1,187,52.5823529411765,16.1048128342246,0.208919786096257,62.4094728902595,NA,3120,87.3,NA
"5",1,27726,63.4620248142538,20.8325687080718,0.236481317175215,223.940559071168,1030.7,25210,23.7,85.2249639531145
