"cluster","n_regions","nb_sejours","age_moyen","dms_nuitees","pct_deces","tx_sejours_sepsis_100k","densite_pop_2022","niveau_vie_median_annuel","intensite_pauvrete_pct","pct_non_scol15"
"1",13,3487.15384615385,68.8846153846154,18.7538461538462,0.420846153846154,81.2591527887806,120.553846153846,22475.3846153846,20.3153846153846,89.4202972313817
"2",2,680,62.85,17.8,0.3735,113.009118339847,293.75,16395,24.4,88.3860329932222
"3",1,130,52.2,23.9,0.431,45.0790964762017,3.5,11040,40.4,84.1343863633509
"4",1,9457,65.9,23.6,0.419,76.383389855588,1030.7,25210,23.7,85.2249639531145
